Start Time,Time taken (Sec),Load,Global Slot No,V Slot No,V,Load,Extra Small,Small,Medium,Pro. Expct Delay,Reactive Enabled,Rec. load,Extra Small,Small,Medium,Rec. Expct Delay,Tot Expct Delay,Total delay,Submitted Jobs,Finished Jobs,95th Percentile,Average Delay,85.0 Percentile,90.0 Percentile,92.0 Percentile,95.0 Percentile,97.0 Percentile,98.0 Percentile,99.0 Percentile,100.0 Percentile
0,0,2139.0,0,0,5.0,2139.0,88,0,0,0.5844825466881838,1,2139.0,88,0,0,0.5844825466881838,0.39939640690359224,10607.514355606281,42085,42077,0.5924077331071095,0.2520976865177242,0.4492595785404319,0.49648346073448407,0.5260773238415812,0.5924077331071095,0.6923725274924516,0.751137205791734,0.8833762923788236,10.0
0,0,1960.0,1,1,5.0,1960.0,88,0,0,0.579479764082039,1,1960.0,88,0,0,0.579479764082039,0.579479764082039,9576.364261559804,38564,38565,0.5858136378854395,0.24831749673433953,0.44851158754704556,0.494808613927944,0.5231106143087527,0.5858136378854395,0.6780014638214513,0.7356860950305282,0.8532576218965804,10.0
0,0,1915.0,2,2,5.0,1915.0,88,0,0,0.5791481388696972,1,1915.0,88,0,0,0.5791481388696972,0.5791481388696972,9351.337024830384,37699,37699,0.5847456309743393,0.24805265457519785,0.448362362212265,0.4943192339774214,0.5230210049626294,0.5847456309743393,0.6760260771588946,0.735379267389817,0.8523608283492194,10.0
0,0,1768.0,3,3,5.0,1768.0,88,0,0,0.5783295568219061,1,1768.0,88,0,0,0.5783295568219061,0.5783295568219061,8676.203320039653,35012,35013,0.5840142559983179,0.2477994836215021,0.44820606675348246,0.4940697777235982,0.5228146000238485,0.5840142559983179,0.6760151247523937,0.7343804408293728,0.8529656139187596,10.0
0,0,2145.0,4,4,5.0,2145.0,88,0,0,0.5846502377252613,1,2145.0,88,0,0,0.5846502377252613,0.5846502377252613,10645.670502342598,42246,42244,0.5923880499442475,0.2520043201955922,0.449170172486447,0.49651181560466284,0.5260748956336101,0.5923880499442475,0.6920893431765992,0.7505595294968768,0.8830644224550045,10.0
0,0,2353.0,5,5,5.0,2353.0,88,0,0,0.5923103213348849,1,2353.0,88,0,0,0.5923103213348849,0.5923103213348849,11967.073404125174,46308,46308,0.597944739162131,0.25842345607940687,0.45100000000002183,0.4989999999997963,0.5290066230945012,0.597944739162131,0.700519654068749,0.7671805300166307,0.922943506536686,10.29058746458395
0,0,2334.0,6,6,5.0,2334.0,88,0,0,0.5915485622802673,1,2334.0,88,0,0,0.5915485622802673,0.5915485622802673,11905.095569013043,45890,45890,0.5988919907762005,0.2594267938333633,0.45100000000002183,0.4998454298204707,0.5299999999997453,0.5988919907762005,0.7016449984685093,0.7659999999996217,0.9210898384537597,15.030489133787341
0,0,2528.0,7,7,5.0,2528.0,88,0,0,0.5967685255107052,1,2528.0,88,0,0,0.5967685255107052,0.5967685255107052,12988.100567209523,49493,49493,0.6066252056883059,0.2624229803650925,0.4520909837323416,0.5020438438303244,0.5330732287088177,0.6066252056883059,0.7120195167571001,0.7849999999998545,0.9629636294671211,10.490743831285727
0,0,2771.0,8,8,5.0,2771.0,90,0,0,0.5990957989431543,1,2771.0,90,0,0,0.5990957989431543,0.5990957989431543,14373.315958882864,54185,54185,0.6108597518421447,0.2652637438199292,0.45249084958031743,0.5031841762363911,0.5360000000000582,0.6108597518421447,0.7215119475272512,0.8000482624016875,0.9863302680937703,10.434027339549175
0,0,2921.0,9,9,5.0,2921.0,95,0,0,0.598935067909858,1,2921.0,95,0,0,0.598935067909858,0.598935067909858,14936.012499046474,57041,57041,0.6003995764540377,0.261846960941191,0.4511834370665383,0.5001413139827492,0.5302788229819271,0.6003995764540377,0.707100712557767,0.7780041304478801,0.9358001430313744,10.82029000068087
0,0,2694.0,10,10,5.0,2694.0,88,0,0,0.5984173740375696,1,2694.0,88,0,0,0.5984173740375696,0.5984173740375696,13973.097724910369,52639,52639,0.6147649934864603,0.26545142812193184,0.4529999999995198,0.5049883467436302,0.5371672010973271,0.6147649934864603,0.721107709631906,0.8004140965393156,0.9873720813098747,10.0
0,0,3796.0,11,11,5.0,3796.0,103,0,0,0.5978324005682232,1,3796.0,103,0,0,0.5978324005682232,0.5978324005682232,19862.771054280835,74495,74491,0.6035106832536256,0.2666465889071275,0.45199999999931606,0.5019241985435656,0.5319999999992433,0.6035106832536256,0.7081212651865645,0.7816147839352937,0.9580644856538143,10.50596958935057
0,0,3138.0,12,12,5.0,3138.0,103,0,0,0.5879467151902631,1,3138.0,103,0,0,0.5879467151902631,0.5879467151902631,15892.645884524045,61322,61325,0.5927372387273854,0.2591544375788674,0.4496014415848549,0.49641574930356,0.5251081558588339,0.5927372387273854,0.6929999999993015,0.7574378292050097,0.9022206893717151,10.230396114286123
0,0,2771.0,13,13,5.0,2771.0,90,0,0,0.5990957989431543,1,2771.0,90,0,0,0.5990957989431543,0.5990957989431543,14373.131636145694,54185,54184,0.6109675982370391,0.265265237637415,0.4525015416538736,0.5031934067765178,0.5360000000000582,0.6109675982370391,0.7215143328520751,0.8000517097181733,0.9863313252684749,10.434027339548265
0,0,3946.0,14,14,5.0,3946.0,103,0,0,0.5996396751865302,1,3946.0,103,0,0,0.5996396751865302,0.5996396751865302,20710.1270550208,77155,77149,0.6100011618755161,0.2684432339371968,0.4536299807678006,0.5047635917580919,0.5360000000000582,0.6100011618755161,0.7190128368638398,0.7950000000000728,0.9907982641361741,10.503144665170112
